"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"597","대전광역시","중구","고속국도",1,127.408579,"1",100,NA
"1478","대전광역시","유성구","고속국도",2,127.338139,"1",100,6.1
"1479","대전광역시","유성구","고속국도",2,127.338139,"1",100,6.1
"1480","대전광역시","유성구","고속국도",2,127.31475,"1",100,NA
"1481","대전광역시","유성구","고속국도",2,127.31475,"1",100,NA
"1482","대전광역시","유성구","고속국도",1,127.318417,"1",100,7.9
"1483","대전광역시","유성구","고속국도",1,127.318417,"1",100,7.9
"1484","대전광역시","유성구","고속국도",1,127.364472,"1",100,NA
"1485","대전광역시","유성구","고속국도",1,127.364472,"1",100,NA
"1915","대전광역시","동구","시도",1,127.476148,"2",50,NA
"1916","대전광역시","유성구","시도",2,127.338138,"2",50,NA
"1917","대전광역시","서구","시도",2,127.376944,"2",50,NA
"1919","대전광역시","서구","시도",2,127.341083,"2",50,NA
"1920","대전광역시","중구","시도",3,127.451166,"2",50,NA
"1921","대전광역시","중구","시도",3,127.442694,"2",50,NA
"1922","대전광역시","서구","시도",1,127.364342,"2",60,NA
"1923","대전광역시","서구","시도",1,127.350083,"2",50,NA
"1924","대전광역시","유성구","시도",1,127.326614,"2",60,NA
"1925","대전광역시","서구","시도",1,127.390555,"2",50,NA
"1926","대전광역시","서구","시도",1,127.358251,"2",50,NA
"1927","대전광역시","유성구","시도",1,127.362666,"2",60,NA
"2154","대전광역시","동구","시도",2,127.447878,"1",30,NA
"2155","대전광역시","동구","시도",2,127.448023,"2",50,NA
"2156","대전광역시","동구","시도",2,127.460538,"2",50,NA
"2157","대전광역시","동구","시도",2,127.474871,"1",30,NA
"2158","대전광역시","동구","시도",2,127.458301,"2",30,NA
"2159","대전광역시","동구","시도",2,127.421946,"2",40,NA
"2160","대전광역시","동구","시도",2,127.459374,"2",30,NA
"2161","대전광역시","동구","시도",2,127.459508,"2",30,NA
"2162","대전광역시","동구","시도",2,127.445035,"2",30,NA
"2163","대전광역시","동구","시도",2,127.442079,"2",50,NA
"2164","대전광역시","동구","시도",3,127.458354,"1",50,NA
"2165","대전광역시","동구","시도",3,127.458065,"1",50,NA
"2166","대전광역시","동구","시도",2,127.456466,"1",30,NA
"2167","대전광역시","동구","시도",2,127.439874,"2",30,NA
"2168","대전광역시","서구","시도",2,127.376327,"1",30,NA
"2169","대전광역시","서구","시도",2,127.365915,"2",30,NA
"2170","대전광역시","서구","시도",2,127.366247,"2",30,NA
"2171","대전광역시","서구","시도",2,127.375034,"1",30,NA
"2172","대전광역시","서구","시도",2,127.388671,"1",30,NA
"2173","대전광역시","서구","시도",1,127.386096,"1",30,NA
"2174","대전광역시","서구","시도",2,127.340841,"2",30,NA
"2175","대전광역시","서구","시도",2,127.384722,"2",30,NA
"2176","대전광역시","서구","시도",2,127.386208,"1",30,NA
"2177","대전광역시","서구","시도",2,127.336401,"2",60,NA
"2178","대전광역시","중구","시도",2,127.393273,"2",30,NA
"2179","대전광역시","중구","시도",2,127.431554,"2",30,NA
"2180","대전광역시","중구","시도",2,127.432444,"2",30,NA
"2181","대전광역시","중구","시도",2,127.411813,"2",30,NA
"2182","대전광역시","중구","시도",2,127.444891,"2",30,NA
"2183","대전광역시","중구","시도",2,127.447981,"1",30,NA
"2184","대전광역시","중구","시도",2,127.400907,"1",60,NA
"2185","대전광역시","중구","시도",2,127.405788,"2",30,NA
"2186","대전광역시","중구","시도",2,127.410863,"2",30,NA
"2187","대전광역시","동구","시도",2,127.440829,"2",30,NA
"2188","대전광역시","동구","시도",2,127.440984,"2",30,NA
"2189","대전광역시","동구","시도",1,127.428212,"2",30,NA
"2190","대전광역시","동구","시도",1,127.429617,"1",50,NA
"2191","대전광역시","동구","시도",2,127.461788,"1",40,NA
"2192","대전광역시","동구","시도",2,127.448859,"1",30,NA
"2193","대전광역시","동구","시도",2,127.446156,"2",30,NA
"2194","대전광역시","동구","시도",2,127.445694,"2",30,NA
"2195","대전광역시","동구","시도",2,127.454556,"2",30,NA
"2196","대전광역시","동구","시도",2,127.459021,"2",40,NA
"2197","대전광역시","동구","시도",2,127.448414,"2",40,NA
"2198","대전광역시","동구","시도",2,127.450179,"1",30,NA
"2199","대전광역시","동구","시도",2,127.427595,"1",30,NA
"2200","대전광역시","동구","시도",2,127.444622,"2",50,NA
"2201","대전광역시","동구","시도",2,127.420723,"2",40,NA
"2343","대전광역시","유성구","시도",2,127.382727,"2",30,NA
"2344","대전광역시","유성구","시도",2,127.342951,"2",30,NA
"2345","대전광역시","유성구","시도",2,127.338461,"2",30,NA
"2346","대전광역시","유성구","시도",2,127.335831,"2",50,NA
"2347","대전광역시","유성구","시도",2,127.332698,"2",30,NA
"2348","대전광역시","유성구","시도",2,127.322511,"2",30,NA
"2349","대전광역시","중구","시도",1,127.403884,"2",30,NA
"2350","대전광역시","중구","시도",2,127.395483,"2",30,NA
"2351","대전광역시","중구","시도",2,127.427348,"2",30,NA
"2352","대전광역시","중구","시도",2,127.425744,"2",30,NA
"2353","대전광역시","중구","시도",2,127.424296,"2",30,NA
"2354","대전광역시","중구","시도",2,127.388182,"2",30,NA
"2355","대전광역시","중구","시도",2,127.407902,"2",30,NA
"2356","대전광역시","중구","시도",2,127.409077,"2",30,NA
"2357","대전광역시","중구","시도",2,127.416871,"1",30,NA
"2358","대전광역시","중구","시도",2,127.417783,"2",30,NA
"2359","대전광역시","중구","시도",2,127.401502,"1",30,NA
"2360","대전광역시","중구","시도",2,127.401384,"1",30,NA
"2361","대전광역시","중구","시도",2,127.397146,"1",30,NA
"2362","대전광역시","중구","시도",2,127.420106,"2",30,NA
"2363","대전광역시","중구","시도",2,127.398327,"1",30,NA
"2364","대전광역시","중구","시도",2,127.399174,"2",30,NA
"2365","대전광역시","중구","시도",2,127.406577,"2",30,NA
"2366","대전광역시","중구","시도",1,127.407875,"2",30,NA
"2367","대전광역시","동구","시도",2,127.468151,"2",30,NA
"2368","대전광역시","동구","시도",2,127.492141,"2",30,NA
